                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0021,                0.73421,                 1.0395,                0.71276,                0.55379,                0.62101,                0.34307,                 1.5371,                 1.1263,                 1.3003,               0.008845,               0.008845,               0.008845
                     37,                0.99797,                 0.7275,                  1.042,                0.72303,                0.55976,                0.62391,                  0.351,                 1.5127,                 1.0865,                 1.2888,               0.008812,               0.008812,               0.008812
                     38,                 1.0149,                0.73243,                 1.0439,                0.75351,                0.56517,                0.63942,                0.35508,                 1.5216,                 1.0708,                 1.2949,               0.008779,               0.008779,               0.008779
                     39,                 1.0027,                0.72734,                 1.0397,                0.73051,                0.57074,                0.63728,                0.35916,                 1.5202,                  1.089,                 1.3017,               0.008746,               0.008746,               0.008746
                     40,                 0.9832,                0.70796,                 1.0319,                0.74025,                0.56732,                0.64223,                0.35867,                 1.5142,                 1.0661,                 1.2907,               0.008713,               0.008713,               0.008713
                     41,                 0.9969,                 0.7238,                 1.0445,                0.73766,                0.56395,                0.63951,                0.36111,                 1.4895,                 1.0676,                 1.2819,                0.00868,                0.00868,                0.00868
                     42,                 1.0016,                  0.728,                 1.0435,                0.73224,                0.55661,                0.63053,                0.35876,                 1.5076,                  1.086,                 1.2879,               0.008647,               0.008647,               0.008647
                     43,                 0.9715,                0.70249,                 1.0319,                0.72498,                0.57055,                0.64195,                0.36199,                  1.485,                 1.0603,                 1.2676,               0.008614,               0.008614,               0.008614
                     44,                0.98983,                0.71428,                 1.0366,                0.71909,                0.56095,                0.62491,                0.35343,                 1.5051,                 1.0851,                 1.2652,               0.008581,               0.008581,               0.008581
                     45,                0.98275,                0.70916,                   1.03,                0.73942,                0.57179,                0.64963,                0.36848,                 1.4865,                 1.0664,                 1.2683,               0.008548,               0.008548,               0.008548
                     46,                0.96865,                0.70299,                 1.0269,                0.74929,                0.57571,                0.64854,                0.36653,                 1.4845,                 1.0356,                 1.2681,               0.008515,               0.008515,               0.008515
                     47,                0.96917,                0.69874,                 1.0292,                0.75818,                0.58152,                0.65373,                0.36845,                 1.4833,                 1.0196,                 1.2723,               0.008482,               0.008482,               0.008482
                     48,                0.96311,                0.69145,                 1.0316,                0.75171,                0.56269,                0.63725,                0.36225,                 1.4935,                 1.0702,                  1.278,               0.008449,               0.008449,               0.008449
                     49,                0.95466,                0.69243,                 1.0276,                0.74852,                0.57455,                0.64889,                0.36807,                 1.4865,                 1.0252,                 1.2712,               0.008416,               0.008416,               0.008416
                     50,                0.94935,                0.68568,                 1.0212,                0.73012,                0.57553,                0.64298,                0.36105,                 1.4989,                 1.0402,                 1.2832,               0.008383,               0.008383,               0.008383
                     51,                0.96172,                0.68847,                 1.0244,                0.76216,                0.58233,                0.65863,                0.37392,                 1.4816,                 1.0446,                 1.2632,                0.00835,                0.00835,                0.00835
                     52,                0.96752,                 0.7017,                 1.0302,                0.73135,                0.58278,                0.65345,                0.37261,                 1.4821,                 1.0201,                 1.2635,               0.008317,               0.008317,               0.008317
                     53,                0.93842,                 0.6739,                 1.0216,                0.74096,                0.58577,                0.65861,                0.37463,                 1.4632,                 1.0159,                 1.2622,               0.008284,               0.008284,               0.008284
                     54,                0.93335,                 0.6773,                 1.0206,                0.75666,                0.58512,                0.66266,                0.37922,                 1.4546,                 1.0034,                 1.2568,               0.008251,               0.008251,               0.008251
                     55,                0.93408,                0.67038,                 1.0076,                0.73145,                0.59685,                0.66165,                0.37824,                 1.4536,                0.98911,                 1.2436,               0.008218,               0.008218,               0.008218
                     56,                0.93411,                0.66945,                 1.0143,                0.76048,                0.56516,                0.65616,                0.37572,                 1.4802,                 1.0146,                 1.2614,               0.008185,               0.008185,               0.008185
                     57,                 0.9222,                0.65768,                 1.0085,                0.75386,                0.57666,                0.65738,                0.37589,                 1.4413,                0.99049,                 1.2488,               0.008152,               0.008152,               0.008152
                     58,                0.92523,                0.65626,                 1.0112,                0.75206,                0.60714,                0.67134,                0.38478,                 1.4404,                 0.9734,                 1.2405,               0.008119,               0.008119,               0.008119
                     59,                0.92201,                0.66526,                 1.0094,                0.75258,                0.59124,                0.66133,                0.37865,                 1.4443,                0.98391,                 1.2462,               0.008086,               0.008086,               0.008086
                     60,                0.93602,                0.67419,                 1.0229,                0.73885,                 0.6003,                0.66656,                 0.3802,                 1.4492,                0.98719,                 1.2494,               0.008053,               0.008053,               0.008053
                     61,                0.92032,                0.66264,                   1.01,                0.73412,                0.60131,                0.66617,                 0.3795,                 1.4693,                 0.9881,                 1.2501,                0.00802,                0.00802,                0.00802
                     62,                0.89607,                0.64634,                 1.0018,                0.75581,                0.59734,                0.66544,                0.38085,                  1.461,                0.97988,                  1.244,               0.007987,               0.007987,               0.007987
                     63,                0.90734,                0.65238,                 1.0041,                0.75976,                0.59175,                0.67252,                0.38732,                 1.4361,                0.97835,                 1.2344,               0.007954,               0.007954,               0.007954
                     64,                0.89792,                 0.6402,                0.99958,                   0.76,                0.59104,                0.66531,                0.38545,                 1.4393,                0.97938,                 1.2375,               0.007921,               0.007921,               0.007921
                     65,                0.90601,                0.64672,                  1.003,                0.74098,                0.59846,                0.66361,                0.38448,                 1.4293,                0.98138,                 1.2293,               0.007888,               0.007888,               0.007888
                     66,                0.90209,                0.64243,                      1,                0.74421,                0.59988,                0.67063,                0.38571,                 1.4264,                0.97391,                 1.2311,               0.007855,               0.007855,               0.007855
                     67,                0.91267,                0.64469,                 1.0065,                0.74712,                0.61746,                0.67953,                0.38794,                 1.4214,                 0.9627,                 1.2282,               0.007822,               0.007822,               0.007822
                     68,                0.90172,                0.63757,                0.99975,                0.76386,                0.59539,                0.67275,                0.38792,                  1.429,                0.96349,                 1.2385,               0.007789,               0.007789,               0.007789
                     69,                0.90327,                0.64541,                 1.0021,                0.75645,                 0.6094,                0.68199,                0.39393,                 1.4232,                0.95416,                 1.2282,               0.007756,               0.007756,               0.007756
                     70,                0.89506,                0.63073,                0.99985,                0.75857,                0.60014,                 0.6761,                0.39403,                 1.4253,                0.96371,                 1.2292,               0.007723,               0.007723,               0.007723
                     71,                0.88565,                0.63053,                0.99974,                  0.768,                0.58771,                0.67435,                0.39195,                 1.4251,                0.95643,                 1.2323,                0.00769,                0.00769,                0.00769
                     72,                0.90157,                0.63299,                 1.0058,                0.73509,                0.60169,                0.67037,                0.38922,                 1.4111,                0.96744,                 1.2219,               0.007657,               0.007657,               0.007657
                     73,                0.89078,                0.63066,                  0.991,                0.76673,                0.60723,                0.68052,                0.39325,                 1.4256,                 0.9557,                 1.2277,               0.007624,               0.007624,               0.007624
                     74,                0.88983,                0.63139,                0.99999,                0.75499,                0.61341,                0.68217,                0.39422,                 1.4164,                0.94756,                 1.2258,               0.007591,               0.007591,               0.007591
                     75,                0.88166,                0.62228,                0.99625,                 0.7786,                0.59508,                0.67966,                0.39376,                 1.4175,                0.95905,                 1.2262,               0.007558,               0.007558,               0.007558
                     76,                0.89883,                0.64081,                 1.0033,                0.76636,                0.59812,                 0.6755,                0.39438,                  1.405,                0.95739,                 1.2189,               0.007525,               0.007525,               0.007525
                     77,                0.89163,                0.63243,                 1.0012,                0.77532,                0.59373,                0.67459,                0.39495,                 1.4077,                0.95415,                  1.217,               0.007492,               0.007492,               0.007492
                     78,                0.88211,                0.63151,                0.99912,                0.77533,                0.60358,                0.68458,                0.39685,                 1.4159,                0.94745,                  1.221,               0.007459,               0.007459,               0.007459
                     79,                0.87487,                0.61602,                0.99264,                0.78057,                0.59983,                0.68285,                0.40099,                 1.4058,                0.93557,                  1.217,               0.007426,               0.007426,               0.007426
                     80,                 0.8708,                 0.6191,                0.99485,                0.76632,                0.61066,                 0.6817,                0.39967,                 1.4107,                0.94884,                 1.2169,               0.007393,               0.007393,               0.007393
                     81,                0.86468,                0.62033,                 0.9884,                0.77118,                0.60576,                0.68242,                0.39993,                 1.4075,                0.94165,                 1.2178,                0.00736,                0.00736,                0.00736
                     82,                0.87641,                0.62133,                0.99559,                0.77368,                0.60145,                0.68124,                 0.3995,                 1.4213,                0.94157,                 1.2169,               0.007327,               0.007327,               0.007327
                     83,                  0.868,                0.61324,                  0.987,                0.77463,                 0.6082,                0.68558,                0.40217,                 1.3966,                0.93587,                  1.204,               0.007294,               0.007294,               0.007294
                     84,                0.84932,                0.60708,                0.98615,                0.75321,                0.61253,                0.68349,                0.39965,                 1.3905,                0.93256,                 1.2078,               0.007261,               0.007261,               0.007261
                     85,                0.87266,                0.60807,                0.98953,                0.76916,                0.60186,                0.67733,                0.39958,                 1.3803,                0.94316,                 1.1997,               0.007228,               0.007228,               0.007228
                     86,                0.86625,                0.61265,                0.98694,                0.76219,                0.60872,                0.67742,                0.39566,                 1.4064,                0.92633,                 1.2025,               0.007195,               0.007195,               0.007195
                     87,                0.87204,                0.60928,                0.99316,                0.77589,                0.61261,                0.69355,                0.40685,                 1.3856,                0.92577,                 1.2025,               0.007162,               0.007162,               0.007162
                     88,                0.86218,                0.60191,                0.98767,                0.78668,                0.61351,                0.69099,                0.40627,                 1.3893,                0.91695,                 1.2077,               0.007129,               0.007129,               0.007129
